[11:36:32] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[11:39:52] [INFO] received Windows console close event; shutting log-core down
[14:27:45] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[14:27:59] [INFO] received Windows console close event; shutting log-core down
[14:30:21] [INFO] received Windows console close event; shutting log-core down
[14:31:57] [INFO] received Windows console close event; shutting log-core down
[14:33:32] [INFO] received Windows console close event; shutting log-core down
[14:45:04] [INFO] received Windows console close event; shutting log-core down
[14:46:06] [INFO] received Windows console close event; shutting log-core down
[18:51:33] [INFO] received Windows console close event; shutting log-core down
[18:53:25] [INFO] received Windows console close event; shutting log-core down
[18:31:42] [INFO] received Windows console close event; shutting log-core down
[21:45:54] [INFO] received Windows console close event; shutting log-core down
